ACCIPITER STRIATUS
CERTHIAXIS CINNAMOMEUS
CHAETOCERCUS HELIODOR
CHAETOCERCUS MULSANT
CHALCOTHRAUPIS RUFICERVIX
CHALYBURA BUFFONII
CHALYBURA UROCHRYSIA
CHAMAEPETES GOUDOTII
CHAUNA CHAVARIA
CHLORESTES JULIE
CHLOROCERYLE AENEA
CHLOROCERYLE AMAZONA
CHLOROCHRYSA NITIDISSIMA
CHLOROCHRYSA PHOENICOTIS
CHLOROPHONIA CYANOCEPHALA
CHLOROPHONIA PYRRHOPHRYS
CHLORORNIS RIEFFERII
CHLOROSPINGUS FLAVIGULARIS
CHLOROSPINGUS FLAVOPECTUS
CHONDROHIERAX UNCINATUS
CHORDEILES ACUTIPENNIS
CHORDEILES MINOR
CHORDEILES NACUNDA
CHRYSOMUS ICTEROCEPHALUS
CINCLODES ALBIDIVENTRIS
CINCLODES EXCELSIOR
CINNYCERTHIA UNIRUFA
CISTOTHORUS PLATENSIS
CLARAVIS PRETIOSA
CNEMATHRAUPIS EXIMIA
CNEMOSCOPUS RUBRIROSTRIS
CNEMOTRICCUS FUSCATUS
COCCYCUA MINUTA
COCCYCUA PUMILA
COCCYZUS AMERICANUS
COCCYZUS ERYTHROPTHALMUS
COCCYZUS MELACORYPHUS
COCHLEARIUS COCHLEARIUS
COELIGENA COELIGENA
COELIGENA LUTATIE
COELIGENA TORQUATA
COEREBA FLAVEOLA
COLAPTES RIVOLII
COLAPTES RUBIGINOSUS
COLIBRI CYANOTUS
COLIBRI DELPHINAE
COLONIA COLONUS
COLUMBA LIVIA
COLUMBINA MINUTA
COLUMBINA PASSERINA
CONIROSTRUM ALBIFRONS
CONIROSTRUM SITTICOLOR
CONTOPUS BOGOTENSIS
CONTOPUS CINEREUS
CONTOPUS COOPERI
CONTOPUS FUMIGATUS
CONTOPUS VIRENS
CORYPHOSPINGUS PILEATUS
CROTOPHAGA MAJOR
CROTOPHAGA SULCIROSTRIS
CRYPTURELLUS SOUI
CYANERPES CYANEUS
CYANOCORAX AFFINIS
CYANOLOXIA CYANOIDES
CYANOLYCA ARMILLATA
CYCLARHIS GUJANENSIS
CYCLARHIS NIGRIROSTRIS
CYMBILAIMUS LINEATUS
Contopus sordidulus
DACNIS EGREGIA
DAPTRIUS CARUNCULATUS
DENDROCINCLA FULIGINOSA
DENDROCINCLA TYRANNINA
DENDROCOLAPTES PICUMNUS
DENDROCYGNA AUTUMNALIS
DENDROCYGNA BICOLOR
DENDROCYGNA VIDUATA
DENDROMA RUFA
DENDROPLEX PICUS
DIGLOSSA ALBILATERA
DIGLOSSA BRUNNEIVENTRIS
DIGLOSSA CAERULESCENS
DIGLOSSA CYANEA
DIGLOSSA HUMERALIS
DIGLOSSA LAFRESNAYII
DIGLOSSA SITTOIDES
DISCOSURA CONVERSII
DOLICHONYX ORYZIVORUS
DONACOBIUS ATRICAPILLA
DRIOPHLOX CRISTATA
DROMOCOCCYX PHASIANELLUS
DYSITHAMNUS MENTALIS
EGRETTA CAERULEA
EGRETTA TRICOLOR
ELAENIA CHIRIQUENSIS
ELAENIA PALLATANGAE
ELAENIA PARVIROSTRIS
EMBERIZOIDES HERBICOLA
EMPIDONAX TRAILLII
EMPIDONAX VIRESCENS
EMPIDONOMUS VARIUS
ENSIFERA ENSIFERA
ERIOCNEMIS MOSQUERA
ERIOCNEMIS VESTITA
EUCOMETIS PENICILLATA
EUDOCIMUS ALBUS
EUDOCIMUS RUBER
EUPHONIA FULVICRISSA
EUPHONIA LANIIROSTRIS
EUPHONIA MINUTA
EUPHONIA TRINITATIS
EUPHONIA XANTHOGASTER
EURYPYGA HELIAS
EUSCARTHMUS MELORYPHUS
Empidonax alnorum
FALCO COLUMBARIUS
FALCO DEIROLEUCUS
FALCO FEMORALIS
FALCO RUFIGULARIS
FLORISUGA MELLIVORA
FLUVICOLA PICA
FORMICIVORA INTERMEDIA
FULICA AMERICANA
FURNARIUS LONGIROSTRIS
GALLINAGO DELICATA
GALLUS GALLUS
GENERANOAETUS MEALANOLEUCUS
GEOSPIZOPSIS UNICOLOR
GEOTHLYPIS PHILADELPHIA
GEOTRYGON MONTANA
GERANOAETUS ALBICAUDATUS
GERANOAETUS POLYOSOMA
GERANOSPIZA CAERULESCENS
GLAICIDIUM JARDINII
GLYPHORYNCHUS SPIRURUS
GRALLARIA MILLERI
GRALLARIA QUINTENSIS
GRALLARIA SATURATA
GRALLARICULA FLAVIROSTRIS
GRALLARICULA LINEIFRONS
GRALLARICULA NANA
GYMNOMYSTAX MEXICANUS
HARPAGUS BIDENTATUS
HELIANGELUS EXORTIS
HELIODOXA JACULA
HELIODOXA LEADBEATERI
HELIODOXA RUBINOIDES
HELIOMASTER LONGIRISTRIS
HELIORNIS FULICA
HEMITHRAUPIS FLAVICOLLIS
HEMITHRAUPIS GUIRA
HEMITRICCUS GRANADENSIS
HEMITRICCUS MARGARITACEIVENTER
HENICORHINA LEUCOPHRYS
HESPEROBURHINUS BISTRIATUS
HIMANTOPUS MEXICANUS
HYLOPHILUS FLAVIPES
HYPNELUS RUFICOLLIS
ICTERUS GALBULA
ICTERUS MESOMELAS
ICTERUS NIGROGULARIS
ICTERUS SPURIUS
ICTINIA MISSISSIPPIENSIS
IRIDOSORNIS RUFIVERTEX
IXOTHRAUPIS GUTTATA
JABIRU MYCTERIA
KLAIS GUIMETI
KLEINOTHRAUPIS ATROPILEUS
KNIPOLEGUS POECILURUS
LAFRESNAYA LAFRESNAYI
LEGATUS LEUCOPHAIUS
LEIOTHLYPIS PEREGRINA
LEISTES MILITARIS
LEPIDOCOLAPTES SOULEYETII
LEPTASTHENURA ANDICOLA
LEPTODON CAYANENSIS
LEPTOPOGON AMAUROCEPHALUS
LEPTOPOGON RUFIPECTUS
LEPTOPOGON SUPERCILIARIS
LEPTOTILA PLUMBEICEPS
LEUCONOTOPICUS FUMIGATUS
LIPAUGUS FUSCOCINEREUS
LOCHMIAS NEMATURA
LONCHURA ATRICAPILLA
LONCHURA MALACCA
LOPHOTRICCUS PILEATUS
LORIOTUS LUCTUOSUS
MANACUS MANACUS
MARECA AMERICANA
MARGARORNIS SQUAMIGER
MASIUS CHRYSOPTERUS
MECOCERCULUS LEUCOPHRYS
MECOCERCULUS POECILOCERCUS
MECOCERCULUS STICTOPTERUS
MEGACERYLE ALCYON
MELANERPES FORMICIVORUS
MELEAGRIS GALLOPAVO
MELOPSITTACUS UNDULATUS
MENOR LESBIA NUNA
MERGANETTA ARMATA
MESEMBRINIBIS CAYENNENSIS
METALLURA TYRIANTHINA
METALLURA WILLIAMI
MICRASTUR RUFICOLLIS
MICRASTUR SEMITORQUATUS
MICROSPIZIAS SUPERCILIOSUS
MIONECTES GALBINUS
MIONECTES OLEAGINEUS
MIONECTES STRIATICOLLIS
MITROSPINGUS CASSINII
MOLOTHRUS ORYZIVORUS
MOMOTUS SUBRUFESCENS
MUSCISAXICOLA ALPINUS
MYCTERIA AMERICANA
MYIARCHUS APICALIS
MYIARCHUS CEPHALOTES
MYIARCHUS CRINITUS
MYIARCHUS PANAMENSIS
MYIARCHUS TUBERCULIFER
MYIARCHUS TYRANNULUS
MYIOBORUS MINIATUS
MYIODYNASTES HEMICHRYSUS
MYIODYNASTES LUTEIVENTRIS
MYIOPAGIS GAIMARDII
MYIOPAGIS VIRIDICATA
MYIOPHOBUS FASCIATUS
MYIOPHOBUS FLAVICANS
MYIORNIS ATRICAPILLUS
MYIOTHLYPIS CORONATA
MYIOTHLYPIS FULVICAUDA
MYIOTHLYPIS NIGROCRISTATA
MYIOTRICCUS ORNATUS
MYIOZETETES CAYANENSIS
MYIOZETETES SIMILIS
MYRMECIZA LONGIPES
MYRMOTHERULA AXILLARIS
Myiobius atricaudus
NANNOPTERUM BRASILIANUM
NEMOSIA PILEATA
NESOTRICCUS MURINUS
NOMONYX DOMINICUS
NORTEÑA DUBUSIA TAENIATA
NYCTANASSA VIOLACEA
NYCTICORAX NYCTICORAX
NYMPHICUS HOLLANDICUS
OCHTHOECA CINNAMOMEIVENTRIS
OCHTHOECA FUMICOLOR
OCHTHOECA RUFIPECTORALIS
OCREATUS UNDERWOODII
ONCOSTOMA OLIVACEUM
OPORORNIS AGILIS
ORESSOCHEN JUBATUS
ORTALIS COLUMBIANA
OXYPOGON STUEBELII
OXYURA FERRUGINEA
PACHYRAMPHUS CINNAMOMEUS
PACHYRAMPHUS HOMOCHROUS
PACHYRAMPHUS POLYCHOPTERUS
PACHYRAMPHUS RUFUS
PACHYRAMPHUS VERSICOLOR
PACHYSYLVIA DECURTATA
PARABUTEO UNICINCTUS
PARDIRALLUS MACULATUS
PARDIRALLUS NIGRICANS
PARKESIA MOTACILLA
PARKESIA NOVEBORACENSIS
PASSER DOMESTICUS
PASSERINA CYANEA
PATAGIOENAS CAYENNENSIS
PATAGIOENAS FASCIATA
PATAGIOENAS PLUMBEA
PATAGIOENAS SPECIOSA
PATAGIOENAS SUBVINACEA
PAVO CRISTATUS
PELECANUS OCCIDENTALIS
PENELOPE MONTAGNII
PENELOPE PERSPICAX
PETROCHELIDON PYRRHONOTA
PHAETUSA SIMPLEX
PHEUCTICUS AUREOVENTRIS
PHILODICE MITCHELLII
PHOENICOPTERUS RUBER
PHYLLOMYIAS GRISEICEPS
PICUMNUS OLIVACEUS
PILHERODIUS PILEATUS
PIONUS MENSTRUUS
PIPRAEIDEA MELANONOTA
PIPREOLA ARCUATA
PIPREOLA AUREOPECTUS
PIPRITES CHLORIS
PIRANGA FLAVA
PIRANGA LEUCOPTERA
PIRANGA OLIVACEA
PLATALEA AJAJA
PLATYRINCHUS MYSTACEUS
PLEGADIS FALCINELLUS
PLUVIALIS DOMINICA
PODILYMBUS PODICEPS
POECILOTRICCUS RUFICEPS
POECILOTRICCUS SYLVIA
POGONOTRICCUS OPHTHALMICUS
POLIOCRANIA EXSUL
POLYERATA AMABILIS
PORZANA CAROLINA
PREMNOPLEX BRUNNESCENS
PROGNE CHALYBEA
PROGNE SUBIS
PROGNE TAPERA
PROTONOTARIA CITREA
PSAROCOLIUS ANGUSTIFRONS
PSAROCOLIUS WAGLERI
PSEUDASTUR ALBICOLLIS
PSEUDOCOLAPTES BOISSONNEAUTII
PSEUDOCOLOPTERYX ACUTIPENNIS
PSITTACARA WAGLERI
PTEROGLOSSUS TORQUATUS
PTEROPHANES CYANOPTERUS
PULSATRIX PERSPICILLATA
PURPLE-THORATED FRUITCROW
PYRIGLENA MAURA
PYRODERUS SCUTATUS
PYRRHOMYIAS CINNAMOMEUS
QUISCALUS MEXICANUS
RAMPHASTOS AMBIGUUS
RAMPHASTOS VITELLINUS
RAMPHOCAENUS MELANURUS
RHODINOCICHLA ROSEA
RHYNCHOCYCLUS AEQUINOCTIALIS
RHYTIPTERNA HOLERYTHRA
ROSTRHAMUS SOCIABILIS
RYNCHOPS NIGER
SALTATOR ATRIPENNIS
SALTATOR GROSSUS
SALTATOR MAXIMUS
SALTATOR OLIVASCENS
SALTATOR STRIATIPECTUS
SAUCEROTTIA CYANIFRONS
SAYORNIS NIGRICANS
SCHISTOCHLAMYS MELANOPIS
SERICOSSYPHA ALBOCRISTATA
SERPOPHAGA CINEREA
SETOPHAGA AESTIVA
SETOPHAGA CASTANEA
SETOPHAGA CERULEA
SETOPHAGA DOMINICA
SETOPHAGA PENSYLVANICA
SETOPHAGA PITIAYUMI
SETOPHAGA STRIATA
SETOPHAGA VIRENS
SICALIS LUTEOLA
SILVICULTRIX DIADEMA
SILVICULTRIX FRONTALIS
SITTASOMUS GRISEICAPILLUS
SPATULA CYANOPTERA
SPHENOPSIS MELANOTIS
SPINUS MAGELLANICUS
SPIZA AMERICANA
SPIZAETUS ORNATUS
SPORATHRAUPIS CYANOCEPHALA
SPOROPHILA ANGOLENSIS
SPOROPHILA CRASSIROSTRIS
SPOROPHILA FUNEREA
SPOROPHILA INTERMEDIA
SPOROPHILA MINUTA
SPOROPHILA PLUMBEA
SPOROPHILA SCHISTACEA
STEATORNIS CARIPENSIS
STELGIDOPTERYX RUFICOLLIS
STERNULA SUPERCILIARIS
STILPNIA HEINEI
STILPNIA LARVATA
STREPTOPELIA ROSEOGRISEA
STRIX NIGROLINEATA
STRIX VIRGATA
STURNELLA MAGNA
SYNALLAXIS AZARAE
SYNALLAXIS BRACHYURA
SYNDACTYLA SUBALARIS
SYRIGMA SIBILATRIX
SYSTELLURA LONGIROSTRIS
TACHYBAPTUS DOMINICUS
TACHYCINETA ALBIVENTER
TACHYCINETA BICOLOR
TACHYPHONUS DELATRII
TACHYPHONUS RUFUS
TANGARA ARTHUS
TANGARA CHRYSOTIS
TANGARA ICTEROCEPHALA
TANGARA INORNATA
TANGARA LABRADORIDES
TANGARA NIGROVIRIDIS
TANGARA PARZUDAKII
TANGARA VASSORII
TANGARA XANTHOCEPHALA
TAPERA NAEVIA
TARABA MAJOR
TERSINA VIRIDIS
THALURANIA COLOMBICA
THAMNOPHILUS ATRINUCHA
THERISTICUS CAUDATUS
THLYPOPSIS ORNATA
THLYPOPSIS SUPERCILIARIS
THRAUPIS EPISCOPUS
THRIPADECTES VIRGATICEPS
TIGRISOMA FASCIATUM
TINAMUS MAJOR
TITYRA INQUISITOR
TITYRA SEMIFASCIATA
TODIROSTRUM CINEREUM
TODIROSTRUM NIGRICEPS
TOLMOMYIAS FLAVIVENTRIS
TOLMOMYIAS SULPHURESCENS
TRINGA MELANOLEUCA
TRINGA SOLITARIA
TROGLODYTES MUSCULUS
TROGLODYTES SOLSTITIALIS
TROGON COLLARIS
TURDUS FLAVIPES
TURDUS FUSCATER
TURDUS GRAYI
TURDUS LEUCOMELAS
TURDUS SERRANUS
TYRANNISCUS NIGROCAPILLUS
TYRANNULUS ELATUS
TYRANNUS DOMINICENSIS
TYRANNUS FORFICATUS
TYRANNUS SAVANA
TYRANNUS TYRANNUS
URANOMITRA FRANCIAE
UROPSALIS LYRA
UROTHRAUPIS STOLZMANNI
VANELLUS RESPLENDENS
VENILIORNIS DIGNUS
VENILIORNIS KIRKII
VERMIVORA CHRYSOPTERA
VIREO ALTILOQUUS
VIREO CHIVI
VIREO FLAVIFRONS
VIREO FLAVOVIRIDIS
XENOPS MEXICANUS
XENOPS RUTILANS
XIPHOCOLAPTES PROMEROPIRHYNCHUS
XIPHORHYNCHUS ERYTHROPYGIUS
XIPHORHYNCHUS SUSURRANS
ZENAIDA AURICULATA
ZENTRYGON FRENATA
